,State,Median inc (2016),Mean inc (2016),Poverty (2016)
1,Alabama,44758,62061,14.0
2,Alaska,74444,92191,7.0
3,Arizona,51340,70432,12.9
4,Arkansas,42336,58850,13.8
5,California,63783,91149,11.8
6,Colorado,62520,84384,8.1
7,Connecticut,71755,102616,7.3
8,Delaware,61017,80432,8.2
9,District of Columbia,72935,110614,14.1
10,Florida,48900,69936,11.7
11,Georgia,51037,71420,13.6
12,Hawaii,71977,91169,7.3
13,Idaho,49174,64513,10.7
14,Illinois,59196,81865,10.2
15,Indiana,50433,66480,10.7
16,Iowa,54570,70708,7.9
17,Kansas,53571,71975,8.8
18,Kentucky,44811,61757,14.3
19,Louisiana,45652,65229,15.1
20,Maine,50826,67011,8.9
21,Maryland,76067,100071,6.8
22,Massachusetts,70954,97295,8.0
23,Michigan,50803,68928,11.5
24,Minnesota,63217,83100,6.9
25,Mississippi,40528,56358,17.4
26,Missouri,49593,67210,10.8
27,Montana,48380,65401,9.6
28,Nebraska,54384,71166,8.4
29,Nevada,53094,70855,11.0
30,New Hampshire,68485,87900,5.3
31,New Jersey,73702,101634,8.1
32,New Mexico,45674,63057,15.9
33,New York,60741,89397,11.7
34,North Carolina,48256,67367,12.4
35,North Dakota,59114,78828,6.9
36,Ohio,50674,68341,11.2
37,Oklahoma,48038,65458,12.2
38,Oregon,53270,72013,10.5
39,Pennsylvania,54895,75235,9.1
40,Rhode Island,58387,79024,9.8
41,South Carolina,46898,64115,12.8
42,South Dakota,52078,68419,8.9
43,Tennessee,46574,65368,12.9
44,Texas,54727,77585,13.0
45,Utah,62518,79414,8.4
46,Vermont,56104,73016,7.5
47,Virginia,66149,90881,8.1
48,Washington,62848,84022,8.4
49,West Virginia,42644,57779,12.9
50,Wisconsin,54610,71459,8.5
51,Wyoming,59143,74667,7.6
